config,target,tau,gt_mean,fp32_MAE,fp32_RMSE,fp32_bias,int8_MAE,int8_RMSE,int8_bias,int8_NAE
yolov8n_320,head,0.1,14.5,6.0,11.41,-3.49,6.1,11.57,-3.67,0.351
yolov8n_320,person,0.275,18.8,5.54,10.4,-2.76,5.77,10.74,-3.58,0.268
yolov8n_320,total,0.175,33.3,9.04,14.84,-1.51,9.43,15.38,-3.33,0.286
yolov8n_448,head,0.15,14.5,4.35,8.68,-2.1,4.45,8.97,-2.65,0.246
yolov8n_448,person,0.3,18.8,4.53,8.52,-2.31,4.67,8.85,-2.36,0.214
yolov8n_448,total,0.25,33.3,7.45,13.24,-3.7,7.73,13.95,-4.21,0.213
yolov8n_640,head,0.225,14.5,3.38,6.49,-1.6,3.37,6.6,-1.83,0.189
yolov8n_640,person,0.3,18.8,4.18,8.27,-1.4,4.26,8.74,-1.5,0.195
yolov8n_640,total,0.25,33.3,6.65,12.24,-1.29,6.84,12.64,-1.49,0.194
yolov8s_320,head,0.075,14.5,5.79,11.24,-3.39,5.79,11.29,-3.38,0.329
yolov8s_320,person,0.275,18.8,4.64,8.52,-2.1,5.08,9.48,-3.49,0.236
yolov8s_320,total,0.175,33.3,8.15,13.56,-2.03,8.34,13.76,-3.36,0.248
